優先度,日本語,品詞,カテゴリ,英単語,カタカナ読み,過去形,過去分詞,類義語
1747,レンズ,名詞,教育,lens,レンズ,,,
1748,プリズム,名詞,教育,prism,プリズム,,,
1749,温度計,名詞,教育,thermometer,サーモメーター,,,
1750,湿度計,名詞,教育,hygrometer,ハイグロメーター,,,
1751,農業,名詞,ビジネス,agriculture,アグリカルチャー,,,farming
1752,畑,名詞,自然,field (farm),ファーム,,,
1753,田んぼ,名詞,自然,rice paddy,ライスパディー,,,
1754,収穫,名詞,ビジネス,harvest,ハーベスト,,,
1755,種まき,名詞,ビジネス,sowing,ソーイング,,,planting seeds
1756,トラクター,名詞,ビジネス,tractor,トラクター,,,
1757,牧場,名詞,場所,ranch,ランチ,,,pasture
1758,酪農,名詞,ビジネス,dairy farming,デイリーファーミング,,,
1759,養殖,名詞,ビジネス,aquaculture,アクアカルチャー,,,fish farming
1760,漁業,名詞,ビジネス,fishing industry,フィッシングインダストリー,,,
1761,蛇,名詞,動物,snake,スネイク,,,
1762,トカゲ,名詞,動物,lizard,リザード,,,
1763,カメ,名詞,動物,turtle,タートル,,,
1764,ワニ,名詞,動物,crocodile,クロコダイル,,,alligator
1765,カエル,名詞,動物,frog,フロッグ,,,
1766,鶏,名詞,動物,chicken,チキン,,,
1767,アヒル,名詞,動物,duck,ダック,,,
1768,ヤギ,名詞,動物,goat,ゴート,,,
1769,ロバ,名詞,動物,donkey,ドンキー,,,
1770,ラクダ,名詞,動物,camel,キャメル,,,
1771,ソファ,名詞,日常生活,sofa,ソファ,,,couch
1772,テーブル,名詞,日常生活,table,テーブル,,,
1773,ラグ,名詞,日常生活,rug,ラグ,,,
1774,クッション,名詞,日常生活,cushion,クッション,,,
1775,本棚,名詞,日常生活,bookshelf,ブックシェルフ,,,
1776,タンス,名詞,日常生活,dresser,ドレッサー,,,chest of drawers
1777,ハンガー,名詞,日常生活,hanger,ハンガー,,,
1778,鏡,名詞,日常生活,mirror,ミラー,,,
1779,壁時計,名詞,日常生活,wall clock,ウォールクロック,,,
1780,ランプ,名詞,日常生活,lamp,ランプ,,,
1781,挨拶,名詞,社会,greeting,グリーティング,,,
1782,お辞儀,名詞,社会,bow (greeting),ボウ,,,
1783,握手,名詞,社会,handshake,ハンドシェイク,,,
1784,ジェスチャー,名詞,社会,gesture,ジェスチャー,,,
1785,敬語,名詞,教育,honorific language,オナリフィックランゲージ,,,polite speech
1786,方言,名詞,教育,dialect,ダイアレクト,,,
1787,通訳者,名詞,ビジネス,interpreter,インタープリター,,,
1788,字幕,名詞,趣味,subtitle,サブタイトル,,,caption
1789,吹き替え,名詞,趣味,dubbing,ダビング,,,
1790,翻訳,名詞,ビジネス,translation,トランスレーション,,,
1791,全部,名詞,基本名詞,everything,エブリシング,,,all
1792,半分,名詞,基本名詞,half,ハーフ,,,
1793,ペア,名詞,基本名詞,pair,ペア,,,
1794,セット,名詞,基本名詞,set,セット,,,
1795,ダース,名詞,基本名詞,dozen,ダズン,,,
1796,数個,名詞,基本名詞,a few,アフュー,,,several
1797,単品,名詞,基本名詞,single (item),シングルアイテム,,,
1798,二倍,名詞,基本名詞,double (amount),ダブル,,,
1799,三倍,名詞,基本名詞,triple (amount),トリプル,,,
1800,倍数,名詞,基本名詞,multiple (numbers),マルティプル,,,
1801,鷲,名詞,動物,eagle,イーグル,,,
1802,フクロウ,名詞,動物,owl,アウル,,,
1803,ペンギン,名詞,動物,penguin,ペンギン,,,
1804,ハト,名詞,動物,pigeon,ピジョン,,,dove
1805,カラス,名詞,動物,crow,クロウ,,,
1806,スズメ,名詞,動物,sparrow,スパロー,,,
1807,ツバメ,名詞,動物,swallow (bird),スワロー,,,
1808,クジャク,名詞,動物,peacock,ピーコック,,,
1809,フラミンゴ,名詞,動物,flamingo,フラミンゴ,,,
1810,ダチョウ,名詞,動物,ostrich,オストリッチ,,,
1811,テントウムシ,名詞,動物,ladybug,レディーバグ,,,
1812,カブトムシ,名詞,動物,beetle,ビートル,,,
1813,バッタ,名詞,動物,grasshopper,グラスホッパー,,,
1814,トンボ,名詞,動物,dragonfly,ドラゴンフライ,,,
1815,ホタル,名詞,動物,firefly,ファイアフライ,,,
1816,イカ,名詞,動物,squid,スクイッド,,,
1817,エビ,名詞,動物,shrimp,シュリンプ,,,prawn
1818,カニ,名詞,動物,crab,クラブ,,,
1819,クラゲ,名詞,動物,jellyfish,ジェリーフィッシュ,,,
1820,ヒトデ,名詞,動物,starfish,スターフィッシュ,,,
1821,内科,名詞,健康,internal medicine,インターナルメディシン,,,
1822,外科,名詞,健康,surgery (department),サージェリー,,,
1823,歯科,名詞,健康,dentistry,デンティストリー,,,
1824,眼科,名詞,健康,ophthalmology,オフサルモロジー,,,
1825,皮膚科,名詞,健康,dermatology,ダーマトロジー,,,
1826,産婦人科,名詞,健康,obstetrics and gynecology,オブステトリクスアンドガイナコロジー,,,OB-GYN
1827,小児科,名詞,健康,pediatrics,ピーディアトリクス,,,
1828,精神科,名詞,健康,psychiatry,サイカイアトリー,,,
1829,整形外科,名詞,健康,orthopedics,オーソピーディクス,,,
1830,耳鼻科,名詞,健康,otolaryngology,オトラリンゴロジー,,,ENT
1831,寿司,名詞,食べ物,sushi,スシ,,,
1832,ラーメン,名詞,食べ物,ramen,ラーメン,,,
1833,天ぷら,名詞,食べ物,tempura,テンプラ,,,
1834,うどん,名詞,食べ物,udon,ウドン,,,
1835,そば,名詞,食べ物,soba,ソバ,,,
1836,カレー,名詞,食べ物,curry,カレー,,,
1837,餃子,名詞,食べ物,gyoza,ギョウザ,,,dumplings
1838,焼き肉,名詞,食べ物,yakiniku,ヤキニク,,,grilled meat
1839,お好み焼き,名詞,食べ物,okonomiyaki,オコノミヤキ,,,savory pancake
1840,たこ焼き,名詞,食べ物,takoyaki,タコヤキ,,,octopus balls
1841,ロック,名詞,趣味,rock (music),ロック,,,
1842,ジャズ,名詞,趣味,jazz,ジャズ,,,
1843,クラシック,名詞,趣味,classical music,クラシックミュージック,,,
1844,ポップ,名詞,趣味,pop (music),ポップ,,,
1845,ヒップホップ,名詞,趣味,hip-hop,ヒップホップ,,,
1846,レゲエ,名詞,趣味,reggae,レゲエ,,,
1847,ブルース,名詞,趣味,blues (music),ブルース,,,
1848,カントリー,名詞,趣味,country (music),カントリー,,,
1849,テクノ,名詞,趣味,techno,テクノ,,,
1850,フォークソング,名詞,趣味,folk music,フォークミュージック,,,
1851,岬,名詞,自然,cape,ケープ,,,headland
1852,湾,名詞,自然,bay,ベイ,,,
1853,海峡,名詞,自然,strait,ストレイト,,,channel
1854,平野,名詞,自然,plain (landform),プレイン,,,
1855,盆地,名詞,自然,basin (landform),ベイスン,,,
1856,高原,名詞,自然,plateau,プラトー,,,
1857,崖,名詞,自然,cliff,クリフ,,,
1858,渓谷,名詞,自然,canyon,キャニオン,,,gorge
1859,三角州,名詞,自然,delta (river),デルタ,,,
1860,火山,名詞,自然,volcano,ボルケーノ,,,
1861,民主主義,名詞,社会,democracy,デモクラシー,,,
1862,独裁,名詞,社会,dictatorship,ディクテーターシップ,,,
1863,王様,名詞,社会,king,キング,,,
1864,女王,名詞,社会,queen,クイーン,,,
1865,貴族,名詞,社会,aristocrat,アリストクラット,,,noble
1866,君主制,名詞,社会,monarchy,モナーキー,,,
1867,共和国,名詞,社会,republic,リパブリック,,,
1868,憲法,名詞,社会,constitution,コンスティテューション,,,
1869,主権,名詞,社会,sovereignty,ソブリンティ,,,
1870,独裁者,名詞,社会,dictator,ディクテーター,,,tyrant
1871,ブラックホール,名詞,自然,black hole,ブラックホール,,,
1872,超新星,名詞,自然,supernova,スーパーノバ,,,
1873,小惑星,名詞,自然,asteroid,アステロイド,,,
1874,軌道,名詞,自然,orbit,オービット,,,
1875,宇宙ステーション,名詞,自然,space station,スペースステーション,,,
1876,ロケット,名詞,テクノロジー,rocket,ロケット,,,
1877,宇宙探査,名詞,自然,space exploration,スペースエクスプロレーション,,,
1878,光年,名詞,自然,light year,ライトイヤー,,,
1879,太陽系,名詞,自然,solar system,ソーラーシステム,,,
1880,星雲,名詞,自然,nebula,ネビュラ,,,
1881,ファスナー,名詞,日常生活,zipper,ジッパー,,,
1882,ポケット,名詞,日常生活,pocket,ポケット,,,
1883,袖,名詞,日常生活,sleeve,スリーブ,,,
1884,襟,名詞,日常生活,collar (clothing),カラー,,,
1885,裾,名詞,日常生活,hem,ヘム,,,
1886,裏地,名詞,日常生活,lining,ライニング,,,
1887,カフス,名詞,日常生活,cuff,カフ,,,
1888,ウエストバンド,名詞,日常生活,waistband,ウエストバンド,,,
1889,ストラップ,名詞,日常生活,strap,ストラップ,,,
1890,バックル,名詞,日常生活,buckle,バックル,,,
1891,リーダー,名詞,ビジネス,leader,リーダー,,,
1892,ロールモデル,名詞,ビジネス,role model,ロールモデル,,,
1893,メンター,名詞,ビジネス,mentor,メンター,,,
1894,監督者,名詞,ビジネス,supervisor,スーパーバイザー,,,
1895,後継者,名詞,ビジネス,successor,サクセサー,,,
1896,前任者,名詞,ビジネス,predecessor,プレディセサー,,,
1897,パイオニア,名詞,ビジネス,pioneer,パイオニア,,,
1898,イノベーター,名詞,ビジネス,innovator,イノベーター,,,
1899,ビジョナリー,名詞,ビジネス,visionary,ビジョナリー,,,
1900,インフルエンサー,名詞,ビジネス,influencer,インフルエンサー,,,
1901,飾り付ける,動詞,日常生活,garnish,ガーニッシュ,garnished,garnished,decorate (food)
1902,下味をつける,動詞,日常生活,marinate,マリネート,marinated,marinated,
1903,濾す,動詞,日常生活,strain,ストレイン,strained,strained,filter
1904,味付けする,動詞,日常生活,season (food),シーズン,seasoned,seasoned,flavor
1905,水を切る,動詞,日常生活,drain (liquid),ドレイン,drained (liquid),drained (liquid),
1906,予熱する,動詞,日常生活,preheat,プリヒート,preheated,preheated,
1907,冷ます,動詞,日常生活,let cool,レットクール,let cool,let cool,cool down
1908,表面を焼く,動詞,日常生活,sear,シアー,seared,seared,brown
1909,混ぜ合わせる,動詞,日常生活,blend,ブレンド,blended,blended,combine
1910,さいの目に切る,動詞,日常生活,dice,ダイス,diced,diced,cube
1911,一番目,名詞,基本名詞,first,ファースト,,,
1912,二番目,名詞,基本名詞,second (in order),セカンド,,,
1913,三番目,名詞,基本名詞,third,サード,,,
1914,四番目,名詞,基本名詞,fourth,フォース,,,
1915,五番目,名詞,基本名詞,fifth,フィフス,,,
1916,次,名詞,基本名詞,next,ネクスト,,,
1917,前の,名詞,基本名詞,previous,プレビアス,,,
1918,後者,名詞,基本名詞,latter,ラター,,,
1919,前者,名詞,基本名詞,former,フォーマー,,,
1920,最後尾,名詞,基本名詞,last (in a sequence),ラスト,,,
1921,世紀,名詞,基本名詞,century,センチュリー,,,
1922,十年間,名詞,基本名詞,decade,デケイド,,,
1923,時代,名詞,基本名詞,era,エラ,,,age
1924,古代,名詞,基本名詞,ancient times,エインシェントタイムズ,,,antiquity
1925,中世,名詞,基本名詞,medieval period,メディーバルピリオド,,,
1926,近代,名詞,基本名詞,modern era,モダンエラ,,,
1927,現代,名詞,基本名詞,contemporary,コンテンポラリー,,,present day
1928,先史時代,名詞,基本名詞,prehistoric,プリヒストリック,,,
1929,千年紀,名詞,基本名詞,millennium,ミレニアム,,,
1930,世代,名詞,基本名詞,generation,ジェネレーション,,,
1931,モチベーション,名詞,感情,motivation,モチベーション,,,
1932,決意,名詞,感情,determination,ディターミネーション,,,resolve
1933,意志力,名詞,感情,willpower,ウィルパワー,,,
1934,熱意,名詞,感情,enthusiasm,エンスージアズム,,,
1935,インスピレーション,名詞,感情,inspiration,インスピレーション,,,
1936,自己肯定感,名詞,感情,self-esteem,セルフエスティーム,,,
1937,レジリエンス,名詞,感情,resilience,レジリエンス,,,
1938,粘り強さ,名詞,感情,perseverance,パーサビアランス,,,persistence
1939,不屈の精神,名詞,感情,grit,グリット,,,
1940,熱望,名詞,感情,zeal,ジール,,,fervor
1941,モノレール,名詞,乗り物,monorail,モノレール,,,
1942,新幹線,名詞,乗り物,bullet train,バレットトレイン,,,shinkansen
1943,路面電車,名詞,乗り物,tram,トラム,,,streetcar
1944,ロープウェイ,名詞,乗り物,cable car,ケーブルカー,,,
1945,客船,名詞,乗り物,cruise ship,クルーズシップ,,,
1946,ヨット,名詞,乗り物,sailboat,セイルボート,,,yacht
1947,カヌー,名詞,乗り物,canoe,カヌー,,,
1948,潜水艦,名詞,乗り物,submarine,サブマリン,,,
1949,熱気球,名詞,乗り物,hot air balloon,ホットエアバルーン,,,
1950,スクーター,名詞,乗り物,scooter,スクーター,,,
1951,市民,名詞,社会,citizen,シチズン,,,
1952,住民,名詞,社会,resident,レジデント,,,inhabitant
1953,外国人,名詞,社会,foreigner,フォーリナー,,,
1954,観光客,名詞,社会,tourist,ツーリスト,,,
1955,地元の人,名詞,社会,local (person),ローカル,,,
1956,隣人,名詞,社会,neighbor,ネイバー,,,
1957,見知らぬ人,名詞,社会,stranger,ストレンジャー,,,
1958,知人,名詞,社会,acquaintance,アクエインタンス,,,
1959,仲間,名詞,社会,companion,コンパニオン,,,comrade
1960,世間,名詞,社会,society (public),パブリックソサエティ,,,the public
1961,桜,名詞,自然,cherry blossom,チェリーブロッサム,,,sakura
1962,梅,名詞,自然,plum blossom,プラムブロッサム,,,
1963,バラ,名詞,自然,rose,ローズ,,,
1964,ひまわり,名詞,自然,sunflower,サンフラワー,,,
1965,チューリップ,名詞,自然,tulip,チューリップ,,,
1966,松,名詞,自然,pine tree,パイントリー,,,
1967,竹,名詞,自然,bamboo,バンブー,,,
1968,もみじ,名詞,自然,maple,メイプル,,,
1969,柳,名詞,自然,willow,ウィロー,,,
1970,椿,名詞,自然,camellia,カメリア,,,
1971,洗剤,名詞,日常生活,detergent,ディタージェント,,,
1972,漂白剤,名詞,日常生活,bleach,ブリーチ,,,
1973,柔軟剤,名詞,日常生活,fabric softener,ファブリックソフナー,,,
1974,消臭剤,名詞,日常生活,deodorizer,デオドライザー,,,
1975,殺虫剤,名詞,日常生活,insecticide,インセクティサイド,,,
1976,防虫剤,名詞,日常生活,insect repellent,インセクトリペラント,,,
1977,芳香剤,名詞,日常生活,air freshener,エアフレッシュナー,,,
1978,ゴミ袋,名詞,日常生活,trash bag,トラッシュバッグ,,,
1979,雑巾,名詞,日常生活,cleaning rag,クリーニングラグ,,,
1980,ほうき,名詞,日常生活,broom,ブルーム,,,
1981,オンス,名詞,基本名詞,ounce,オンス,,,
1982,ポンド,名詞,基本名詞,pound (weight),パウンド,,,
1983,インチ,名詞,基本名詞,inch,インチ,,,
1984,フィート,名詞,基本名詞,foot (unit),フット,,,
1985,ヤード,名詞,基本名詞,yard (measurement),ヤード,,,
1986,マイル,名詞,基本名詞,mile,マイル,,,
1987,エーカー,名詞,基本名詞,acre,エーカー,,,
1988,トン,名詞,基本名詞,ton,トン,,,
1989,ワット,名詞,基本名詞,watt,ワット,,,
1990,ボルト,名詞,基本名詞,volt,ボルト,,,
1991,目立つ,動詞,抽象概念,stand out,スタンドアウト,stood out,stood out,
1992,隠れる,動詞,基本動詞,hide (oneself),ハイド,hid (oneself),hidden (oneself),
1993,隠す,動詞,基本動詞,conceal,コンシール,concealed,concealed,hide
1994,光る,動詞,自然,shine,シャイン,shone,shone,glow
1995,輝く,動詞,自然,sparkle,スパークル,sparkled,sparkled,glitter
1996,漂う,動詞,自然,drift,ドリフト,drifted,drifted,float
1997,沈む,動詞,自然,sink,シンク,sank,sunk,
1998,浮く,動詞,自然,float,フロート,floated,floated,
1999,振動する,動詞,テクノロジー,vibrate,バイブレート,vibrated,vibrated,shake
2000,達成感,名詞,感情,sense of accomplishment,センスオブアコンプリッシュメント,,,fulfillment
2001,節約,名詞,日常生活,thrift,スリフト,,,frugality,saving
2002,消費,名詞,ビジネス,consumption,コンサンプション,,,usage
2003,生産,名詞,ビジネス,production,プロダクション,,,manufacturing
2004,製造,名詞,ビジネス,manufacturing,マニュファクチャリング,,,production
2005,輸出,名詞,ビジネス,exportation,エクスポーテーション,,,export
2006,輸入,名詞,ビジネス,importation,インポーテーション,,,import
2007,開発,名詞,ビジネス,development,ディベロップメント,,,
2008,研究,名詞,教育,inquiry,インクワイアリー,,,investigation
2009,発明,名詞,教育,innovation (invention),イノベーション,,,creation
2010,実験,名詞,教育,experimentation,エクスペリメンテーション,,,trial
2011,分析,名詞,ビジネス,analysis,アナリシス,,,
2012,評価,名詞,ビジネス,evaluation,エバリュエーション,,,assessment
2013,判断,名詞,抽象概念,judgment,ジャッジメント,,,decision
2014,予想,名詞,抽象概念,prediction,プレディクション,,,forecast
2015,計算,名詞,基本動詞,calculation,キャルキュレーション,,,computation
2016,記録,名詞,基本動詞,log (record),ログ,,,documentation
2017,削除,名詞,ビジネス,deletion,デリーション,,,removal
2018,更新,名詞,ビジネス,renewal,リニューアル,,,
2019,確認,名詞,ビジネス,verification,ベリフィケーション,,,
2020,検討,名詞,ビジネス,deliberation,デリバレーション,,,
2021,承認,名詞,ビジネス,approval,アプルーバル,,,authorization
2022,拒否,名詞,社会,refusal,リフューザル,,,rejection
2023,禁止,名詞,社会,prohibition,プロヒビション,,,ban
2024,許可,名詞,社会,authorization,オーソライゼーション,,,permission
2025,命令,名詞,社会,directive,ダイレクティブ,,,order
2026,依頼,名詞,ビジネス,commission,コミッション,,,
2027,提出,名詞,ビジネス,submission,サブミッション,,,
2028,交換,名詞,日常生活,swap,スワップ,,,exchange
2029,交渉,名詞,ビジネス,negotiation,ネゴシエーション,,,bargaining
2030,協力,名詞,社会,cooperation,コーオペレーション,,,collaboration
2031,参加,名詞,社会,participation,パーティシペーション,,,involvement
2032,出席,名詞,教育,attendance,アテンダンス,,,presence
2033,欠席,名詞,教育,absence,アブセンス,,,
2034,卒業,名詞,教育,graduation,グラジュエーション,,,
2035,入学,名詞,教育,enrollment,エンロールメント,,,admission
2036,退職,名詞,ビジネス,resignation,レジグネーション,,,
2037,引退,名詞,ビジネス,retirement,リタイアメント,,,
2038,結婚,名詞,日常生活,marriage,マリッジ,,,
2039,離婚,名詞,日常生活,marital split,マリタルスプリット,,,divorce
2040,妊娠,名詞,日常生活,pregnancy,プレグナンシー,,,
2041,出産,名詞,日常生活,childbirth,チャイルドバース,,,delivery
2042,旅行,名詞,日常生活,journey,ジャーニー,,,trip, voyage
2043,出発,名詞,日常生活,departure,ディパーチャー,,,
2044,訪問,名詞,ビジネス,visitation,ビジテーション,,,call
2045,案内,名詞,ビジネス,guidance,ガイダンス,,,
2046,紹介,名詞,社会,introduction,イントロダクション,,,
2047,招待,名詞,社会,invitation,インビテーション,,,
2048,利用,名詞,ビジネス,utilization,ユーティライゼーション,,,usage
2049,活用,名詞,ビジネス,practical use,プラクティカルユース,,,application
2050,完成,名詞,ビジネス,completion,コンプリーション,,,
2051,発音,名詞,教育,pronunciation,プロナンシエーション,,,
2052,説得,名詞,社会,persuasion,パースエージョン,,,
2053,運転,名詞,日常生活,driving,ドライビング,,,operation
2054,演奏,名詞,趣味,performance (music),ミュージックパフォーマンス,,,
2055,鑑賞,名詞,趣味,appreciation (art),アートアプリシエーション,,,viewing
2056,収集,名詞,趣味,accumulation,アキュムレーション,,,gathering
2057,応援,名詞,趣味,cheering,チアリング,,,support
2058,実現,名詞,ビジネス,realization,リアライゼーション,,,
2059,向上,名詞,ビジネス,betterment,ベターメント,,,improvement
2060,拡大,名詞,ビジネス,expansion,エクスパンション,,,
2061,縮小,名詞,ビジネス,reduction (scale),スケールリダクション,,,downsizing
2062,普及,名詞,社会,popularization,ポピュラリゼーション,,,proliferation
2063,発生,名詞,社会,occurrence,オカランス,,,emergence
2064,成長,名詞,基本名詞,growth,グロウス,,,
2065,一致,名詞,抽象概念,alignment,アラインメント,,,correspondence
2066,対立,名詞,社会,confrontation,コンフロンテーション,,,opposition
2067,共存,名詞,社会,coexistence,コーイグジステンス,,,
2068,共有,名詞,ビジネス,sharing,シェアリング,,,
2069,保存,名詞,テクノロジー,preservation,プレザベーション,,,
2070,ダウンロード,名詞,テクノロジー,downloading,ダウンローディング,,,
2071,アップロード,名詞,テクノロジー,uploading,アップローディング,,,
2072,検索,名詞,テクノロジー,lookup,ルックアップ,,,
2073,返答,名詞,社会,retort,リトート,,,reply
2074,診察,名詞,健康,medical examination,メディカルエグザミネーション,,,checkup
2075,診断,名詞,健康,diagnosis,ダイアグノシス,,,
2076,処方,名詞,健康,prescription,プリスクリプション,,,
2077,入院,名詞,健康,hospitalization,ホスピタライゼーション,,,
2078,退院,名詞,健康,hospital discharge,ホスピタルディスチャージ,,,
2079,注射,名詞,健康,injection,インジェクション,,,shot
2080,検査,名詞,健康,examination (test),メディカルテスト,,,testing
2081,予防,名詞,健康,prevention,プリベンション,,,
2082,感染,名詞,健康,infection,インフェクション,,,
2083,回復,名詞,健康,recovery,リカバリー,,,
2084,通勤,名詞,ビジネス,commuting,コミューティング,,,
2085,出勤,名詞,ビジネス,going to work,ゴーイングトゥワーク,,,
2086,残業,名詞,ビジネス,overtime,オーバータイム,,,
2087,休憩,名詞,日常生活,rest break,レストブレイク,,,recess
2088,出張,名詞,ビジネス,business trip,ビジネストリップ,,,
2089,昇進,名詞,ビジネス,promotion (career),キャリアプロモーション,,,
2090,異動,名詞,ビジネス,internal transfer,インターナルトランスファー,,,
2091,採用,名詞,ビジネス,hiring,ハイアリング,,,recruitment
2092,解雇,名詞,ビジネス,dismissal (job),ジョブディスミサル,,,firing
2093,転職,名詞,ビジネス,job change,ジョブチェンジ,,,career switch
2094,逮捕,名詞,社会,apprehension,アプリヘンション,,,arrest
2095,罰,名詞,社会,punishment,パニッシュメント,,,
2096,違反,名詞,社会,violation,バイオレイション,,,
2097,想像,名詞,抽象概念,imagination,イマジネーション,,,
2098,期待,名詞,感情,expectation,エクスペクテーション,,,
2099,延長,名詞,ビジネス,extension,エクステンション,,,
2100,中止,名詞,ビジネス,cancellation,キャンセレーション,,,
2101,延期,名詞,ビジネス,postponement,ポストポーンメント,,,
2102,再開,名詞,ビジネス,resumption,リザンプション,,,
2103,開始,名詞,ビジネス,commencement,コメンスメント,,,beginning
2104,完了,名詞,ビジネス,wrap-up,ラップアップ,,,
2105,記入,名詞,ビジネス,entry (writing),ライティングエントリー,,,
2106,了承,名詞,ビジネス,acceptance (agreement),アクセプタンス,,,consent
2107,撤回,名詞,ビジネス,retraction,リトラクション,,,
2108,返済,名詞,ビジネス,repayment,リペイメント,,,
2109,投票,名詞,社会,voting,ボーティング,,,
2110,応募,名詞,ビジネス,job application,ジョブアプリケーション,,,
2111,描写,名詞,趣味,depiction,ディピクション,,,portrayal
2112,表現,名詞,趣味,expression,エクスプレッション,,,
2113,通訳,名詞,ビジネス,interpretation,インタープリテーション,,,
2114,要約,名詞,教育,summary,サマリー,,,
2115,編集,名詞,テクノロジー,editing,エディティング,,,
2116,味見,名詞,日常生活,tasting,テイスティング,,,
2117,混同,名詞,抽象概念,confusion,コンフュージョン,,,
2118,納得,名詞,抽象概念,understanding (agreement),アンダースタンディング,,,conviction
2119,反省,名詞,感情,self-reflection,セルフリフレクション,,,
2120,歓迎,名詞,社会,reception (welcome),レセプション,,,
2121,我慢,名詞,感情,forbearance,フォーベアランス,,,endurance
2122,修理,名詞,日常生活,fixing,フィクシング,,,
2123,溶接,名詞,日常生活,welding,ウェルディング,,,
2124,リラックス,名詞,感情,relaxation,リラクゼーション,,,
2125,帰宅,名詞,日常生活,homecoming,ホームカミング,,,
2126,寝坊,名詞,日常生活,oversleeping,オーバースリーピング,,,
2127,昼寝,名詞,日常生活,nap,ナップ,,,siesta
2128,早起き,名詞,日常生活,early rising,アーリーライジング,,,
2129,夜更かし,名詞,日常生活,staying up late,ステイングアップレイト,,,
2130,うたた寝,名詞,日常生活,dozing,ドージング,,,
2131,予熱,名詞,日常生活,preheating,プリヒーティング,,,
2132,振動,名詞,テクノロジー,vibration,バイブレーション,,,
